name,category,duration,energy_level,social_context,lat,lng,tags,source_url
Sakana,Food,60,2,Either,33.3476644,-111.9762449,restaurant|scottsdale,https://www.openstreetmap.org/node/188077495
YC's Mongolian Grill,Food,60,2,Either,33.3497072,-111.94909,restaurant|scottsdale,https://www.openstreetmap.org/node/319993485
Cornish Pasty Co.,Food,60,2,Either,33.4230198,-111.9517935,restaurant|scottsdale,https://www.openstreetmap.org/node/335753012
Cheese 'N Stuff Deli,Food,60,2,Either,33.510174,-112.0740475,restaurant|scottsdale,https://www.openstreetmap.org/node/611897437
Rito's,Food,60,2,Either,33.4579801,-112.0519351,restaurant|scottsdale,https://www.openstreetmap.org/node/617930109
Welcome Diner,Food,60,2,Either,33.4556306,-112.060791,restaurant|scottsdale,https://www.openstreetmap.org/node/617930193
Tom's Watch Bar,Food,60,2,Either,33.4469019,-112.071075,restaurant|scottsdale,https://www.openstreetmap.org/node/621056675
Duck and Decanter,Food,60,2,Either,33.4485655,-112.0728707,restaurant|scottsdale,https://www.openstreetmap.org/node/621056705
Crazy Jim's,Food,60,2,Either,33.4480465,-112.0784044,restaurant|scottsdale,https://www.openstreetmap.org/node/621056820
Canyon Cafe,Food,60,2,Either,33.452521,-112.0687667,restaurant|scottsdale,https://www.openstreetmap.org/node/621056887
Phoenicia Cafe,Food,60,2,Either,33.3290014,-111.7907615,restaurant|scottsdale,https://www.openstreetmap.org/node/621067520
Gilbert Pizza,Food,60,2,Either,33.3289951,-111.790617,restaurant|scottsdale,https://www.openstreetmap.org/node/621067635
Flancer's Cafe,Food,60,2,Either,33.3608689,-111.7900292,restaurant|scottsdale,https://www.openstreetmap.org/node/621067903
Lulu's Taco Shop,Food,60,2,Either,33.3612117,-111.7900957,restaurant|scottsdale,https://www.openstreetmap.org/node/621067909
Grimaldi's Pizza,Food,60,2,Either,33.6741652,-111.887874,restaurant|scottsdale,https://www.openstreetmap.org/node/915172332
Akaihana,Food,60,2,Either,33.5544681,-112.1109487,restaurant|scottsdale,https://www.openstreetmap.org/node/983766228
Los Compadres,Food,60,2,Either,33.5543429,-112.1098168,restaurant|scottsdale,https://www.openstreetmap.org/node/983766595
Rosa's Mexican Grill,Food,60,2,Either,33.4234051,-111.824024,restaurant|scottsdale,https://www.openstreetmap.org/node/993733665
Buddyz A Chicago Pizzeria,Food,60,2,Either,33.3776954,-111.7535793,restaurant|scottsdale,https://www.openstreetmap.org/node/993738601
Wildflower Bread,Food,60,2,Either,33.3786017,-111.7577845,restaurant|scottsdale,https://www.openstreetmap.org/node/993739080
First Watch,Food,60,2,Either,33.3801782,-111.7533312,restaurant|scottsdale,https://www.openstreetmap.org/node/993739495
Courthouse Cafe,Food,60,2,Either,33.4500492,-112.0757452,restaurant|scottsdale,https://www.openstreetmap.org/node/993745637
Centrico,Food,60,2,Either,33.4505291,-112.0740533,restaurant|scottsdale,https://www.openstreetmap.org/node/993745734
Hanney's,Food,60,2,Either,33.4491187,-112.072826,restaurant|scottsdale,https://www.openstreetmap.org/node/993745870
Hooters,Food,60,2,Either,33.4518428,-112.0696241,restaurant|scottsdale,https://www.openstreetmap.org/node/993746019
CiBO Pizzeria,Food,60,2,Either,33.4549636,-112.0798328,restaurant|scottsdale,https://www.openstreetmap.org/node/993746425
Carolina's,Food,60,2,Either,33.4315057,-112.0560301,restaurant|scottsdale,https://www.openstreetmap.org/node/993748721
Nick's,Food,60,2,Either,33.5851899,-111.9784579,restaurant|scottsdale,https://www.openstreetmap.org/node/1015312249
The Cheesecake Factory,Food,60,2,Either,33.5101535,-112.0294706,restaurant|scottsdale,https://www.openstreetmap.org/node/1106596087
The Normal Diner,Food,60,2,Either,33.414428,-111.936028,restaurant|scottsdale,https://www.openstreetmap.org/node/1276254050
TGFI Friday's Frontrow,Food,60,2,Either,33.4461234,-112.0679092,restaurant|scottsdale,https://www.openstreetmap.org/node/1278936225
Brio,Food,60,2,Either,33.3083935,-111.7432368,restaurant|scottsdale,https://www.openstreetmap.org/node/1457107303
Kona Grill,Food,60,2,Either,33.3078705,-111.7422133,restaurant|scottsdale,https://www.openstreetmap.org/node/1457107332
Grimaldi's Pizzeria,Food,60,2,Either,33.3098963,-111.7439036,restaurant|scottsdale,https://www.openstreetmap.org/node/1457107445
Cantina Laredo,Food,60,2,Either,33.3084181,-111.7438622,restaurant|scottsdale,https://www.openstreetmap.org/node/1457107451
RA Sushi,Food,60,2,Either,33.3852424,-111.7548244,restaurant|scottsdale,https://www.openstreetmap.org/node/1457198753
Rio Rico Mexican Grill,Food,60,2,Either,33.3669196,-111.754825,restaurant|scottsdale,https://www.openstreetmap.org/node/1457199017
Temari Fine Japanese Cuisine,Food,60,2,Either,33.3669917,-111.755677,restaurant|scottsdale,https://www.openstreetmap.org/node/1457199137
Sauce,Food,60,2,Either,33.3810972,-111.7568083,restaurant|scottsdale,https://www.openstreetmap.org/node/1457199254
Athenia Express,Food,60,2,Either,33.4575071,-112.0741073,restaurant|scottsdale,https://www.openstreetmap.org/node/1457348946
LadyBug Cafe,Food,60,2,Either,33.4444796,-111.9592963,restaurant|scottsdale,https://www.openstreetmap.org/node/1560125334
Zupas,Food,60,2,Either,33.5086966,-112.0414738,restaurant|scottsdale,https://www.openstreetmap.org/node/1577042868
Paradise Hawaiian BBQ,Food,60,2,Either,33.4494796,-112.0743051,restaurant|scottsdale,https://www.openstreetmap.org/node/1579183066
Barro's Pizza,Food,60,2,Either,33.5402291,-111.889434,restaurant|scottsdale,https://www.openstreetmap.org/node/1592989278
Peter Piper Pizza,Food,60,2,Either,33.4654564,-111.9164951,restaurant|scottsdale,https://www.openstreetmap.org/node/1592989343
Arizona BBQ Shack,Food,60,2,Either,33.5228783,-111.8972652,restaurant|scottsdale,https://www.openstreetmap.org/node/1592989344
Blue Agave,Food,60,2,Either,33.6571278,-111.92679,restaurant|scottsdale,https://www.openstreetmap.org/node/1642742305
Nee House,Food,60,2,Either,33.6129951,-111.9771702,restaurant|scottsdale,https://www.openstreetmap.org/node/1652407299
La Petite Maison,Food,60,2,Either,33.5010884,-111.9254987,restaurant|scottsdale,https://www.openstreetmap.org/node/1654901351
Salerno's,Food,60,2,Either,33.364488,-111.7063804,restaurant|scottsdale,https://www.openstreetmap.org/node/1654920163
Wild Horse Trail,Movement,90,3,Either,33.5164034,-111.6207706,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5562141
Lance's Trail,Movement,90,3,Either,33.5099319,-111.6212865,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5584055
Maricopa Trail,Movement,90,3,Either,33.4713809,-111.7658822,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5586113
Lower Salt River Interpretive Trail,Movement,90,3,Either,33.5444642,-111.6634671,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5586218
North 19th Place,Movement,90,3,Either,33.6580666,-112.0418111,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5593643
North Bluebird Lane,Movement,90,3,Either,33.6459271,-112.0335704,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5594247
Overpass Walk,Movement,90,3,Either,33.5019996,-112.0432758,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5600998
South 30th Avenue,Movement,90,3,Either,33.3541214,-112.1251103,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5606749
Tangerine,Movement,90,3,Either,33.4092281,-111.7278065,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5622797
North Consolidated Canal,Movement,90,3,Either,33.444247,-111.8127667,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5655473
North Canal Bank Road,Movement,90,3,Either,33.5294838,-111.9150523,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5658484
East Ahwatukee Bike Path,Movement,90,3,Either,33.3338886,-111.9968559,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/5663695
Javelina Canyon Trail,Movement,90,3,Either,33.3605349,-112.0141011,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/15090465
Hidden Valley Trail,Movement,90,3,Either,33.3528431,-112.0201747,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/15776945
Pima Canyon Loop Trail,Movement,90,3,Either,33.3691534,-111.9771205,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/16675319
Beacon Hill Trail,Movement,90,3,Either,33.3661869,-111.9864953,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/18237467
To Trail 100,Movement,90,3,Either,33.5651418,-112.0291419,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/23223866
#100 - Charles M. Christiansen Trail,Movement,90,3,Either,33.5673841,-112.0304763,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/23223868
Mormon Trail,Movement,90,3,Either,33.3619882,-112.0266323,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/23309639
Old Man Trail,Movement,90,3,Either,33.3398978,-112.0303161,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/23309654
Thondum Wihom Trail,Movement,90,3,Either,33.3537834,-112.0421846,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/23309656
Palm Walk,Movement,90,3,Either,33.4220414,-111.9327327,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/28740161
McAllister Mall,Movement,90,3,Either,33.4197274,-111.9300641,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/28864708
South Hayden Mall,Movement,90,3,Either,33.4192782,-111.9341516,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/28864845
East Orange Mall,Movement,90,3,Either,33.4183743,-111.9341713,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/28865018
South Cady Mall,Movement,90,3,Either,33.4187807,-111.9351198,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/28865115
Pinacle Peak Trail,Movement,90,3,Either,33.728786,-111.8687676,trail|scottsdale|outdoor,https://www.openstreetmap.org/way/29473718
