name,category,duration,energy_level,social_context,lat,lng,tags,source_url,source_name,start_date,image_url
"16th FiTech Fuel Injection Spring Nationals presented by Grundy Insurance","Movement",90,3,"Either",,,"movement|event|outdoor|cvb|rating:source-curated","https://www.experiencescottsdale.com/event/16th-fitech-fuel-injection-spring-nationals-presented-by-grundy-insurance/373557/","Experience Scottsdale Events","2026-03-13","https://assets.experiencescottsdale.com/simpleview/image/upload/c_fill,h_396,q_75,w_704/v1/crm/scottsdale/SN26-Pic-1_E0200DAA-FC53-D959-7FA9695C64B2E758_e02824d7-db85-5654-2fc55b7cd63921cd.jpg"
"2026 NCAA Women's Final Four Fan Events","Explore",90,2,"Either",,,"explore|event|cvb|rating:source-curated","https://www.experiencescottsdale.com/event/2026-ncaa-womens-final-four-fan-events/372320/","Experience Scottsdale Events","2026-04-02","https://assets.experiencescottsdale.com/simpleview/image/upload/c_fill,h_396,q_75,w_704/v1/crm/scottsdale/WBB_2026-Final-Four-Logo-Announcement_F1F54304-A2F6-749A-65FDEFC08E0C2617_f1f8fb61-0746-092f-4002319e8ab5730d.jpg"
"77th Street Community Access - Open House","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131112?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/300e90b76576ea40ab38958749ab3a34.png"
"Airport Advisory Commission - Regular Meeting - 03-18-26","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131524?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/hubs/e9bcd67ea2c2b1b2058bb9a53e3091f1.png"
"Amending and Enforcing Your CC&Rs","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260116484?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/11d15328f36d0d865fd3a7121e0fdbc0.png"
"Ar-Kid-Eology: Gimme Shelter","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260113335?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/f222a176ba2b3ececaac3cec2ff5040a.png"
"Arizona Bike Week","Movement",90,3,"Either",,,"movement|event|outdoor|cvb|rating:source-curated","https://www.experiencescottsdale.com/event/arizona-bike-week/372762/","Experience Scottsdale Events","2026-04-08","https://assets.experiencescottsdale.com/simpleview/image/upload/c_fill,h_396,q_75,w_704/v1/crm/scottsdale/Arizona-Bike-Week0_cb603e1a-5056-b3a8-49e77ec2a33a37be.gif"
"Arizona Goes to the Movies","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260117250?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/84aa80221896ff278df85f7949727f7c.png"
"Arizona Outdoor Expo","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/218530?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/b03318b35acf248ecc3ada874b3093e5.png"
"ArtWalk","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/211888?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","Every Thursday","https://org-images.coing.co/lgcy/consumer/uploads/001520dfa330d1b345283ff9dde6814b.png"
"Ask the Experts","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260123984?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/6a0a6c79d67e33160af6dec3f2f6af57.png"
"Ask the Experts","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260111881?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/6a0a6c79d67e33160af6dec3f2f6af57.png"
"Baby Cuddles","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221494?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/0c38a55e94fff61de8fac9534ca06a6f.png"
